feeder_name,feeder_slug,state,district,band,avg_supply_hours_per_day,zero_supply_days,fault_hours_per_day,fault_hours_total,os_hours_per_day,os_hours_total,load_shedding_hours_per_day,load_shedding_hours_total,tcn_hours_total_excluded,energy_positive_days,energy_zero_or_negative_days,energy_no_data_days
KARKASARA,KN-ZAR-KAR,Kano,Kano East,B,0.0,31,0.0,0.0,0.0,0.0,24.0,744.0,0,25,0,6
KAURA GOJE,KN-PRP-KAU,Kano,Kano Central,D,0.0,31,0.0,0.0,0.0,0.0,48.0,1488.0,0,21,1,9
KOFAR FADA,KN-MUS-KOF,Katsina,Katsina Central,D,3.0,16,5.01,155.22,0.0,0.0,11.85,367.44,0,22,5,4
KOFAR MARUSA,KN-IBB-KOF,Katsina,Katsina North,D,4.81,1,2.56,79.25,0.0,0.0,2.56,79.25,0,26,0,5
KOFAR NAISA,KN-DAN-KOF2,Kano,Kano City,C,1.74,14,23.58,730.85,0.0,0.0,18.82,583.31,30.03,27,1,3
KOFAR NASSARAWA,KN-DAN-KOF,Kano,Kano City,C,1.42,14,21.69,672.24,0.0,0.0,21.65,671.02,0,27,1,3
KOKI,KN-IDH-KOK,Kano,Kano City,D,3.06,5,0.0,0.0,0.0,0.0,0.0,0,0,27,2,2
KUNDILA,KN-ZAR-KUN,Kano,Kano East,C,0.03,30,0.0,0.0,0.0,0.0,24.0,744.0,0,28,1,2
KUNTAU,KN-BUK-KUN,Kano,Kano North,C,3.48,11,10.43,323.37,0.0,0.0,4.64,143.84,179.53,22,1,8
LAMBISA,KN-FAR-LAM,Kano,Kano East,A,18.1,0,0.95,29.35,0.0,0.0,0.49,15.26,14.08,30,0,1
LAMIDO,KN-CLU-LAM,Kano,Kano Central,C,2.55,6,22.35,692.98,0.0,0.0,16.4,508.27,39.5,26,5,0
LAUTAI,KN-GUM-LAU,Jigawa,Jigawa West,C,0.0,31,0.0,0.0,0.0,0.0,24.0,744.0,0,24,3,4
LIMAWA,KN-DUT-LIM,Jigawa,Jigawa South,C,7.48,0,0.0,0.0,0.0,0.0,0.0,0,0,25,0,6
LOW COST,KN-IBB-LOW,Katsina,Katsina North,B,0.0,31,24.0,744.0,0.0,0.0,0.0,0,0,24,1,6
MAI RUWA,KN-TEX-MAI,Katsina,Katsina South,E,6.94,0,16.95,525.35,0.0,0.0,16.3,505.16,0.05,28,0,3
